ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,s,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,ret_att,r_err,block_solos,block_assists,b_err,pts,bhe,defensive_kills,defensive_errors,defensive_total_attacks,defensive_hit_pct,defensive_assists,defensive_aces,defensive_s_err,defensive_digs,defensive_ret_att,defensive_r_err,defensive_block_solos,defensive_block_assists,defensive_b_err,defensive_pts,defensive_bhe
721,2023-10-12,Air Force,Colorado St.,Home,L,2,3,5,68,26,167,0.251,68,4,11,65,102,7,4,14,1,83,NA,65,25,170,0.235,61,7,8,58,96,4,2,18,3,83,NA
721,2023-10-14,Air Force,Wyoming,Home,L,1,3,4,51,32,141,0.135,50,7,7,39,93,4,5,10,2,68,NA,57,19,128,0.297,55,4,6,42,79,8,4,20,0,75,NA
721,2023-10-17,Air Force,New Mexico,Away,L,0,3,3,45,19,111,0.234,42,5,6,39,67,5,0,8,1,54,NA,45,10,100,0.35,39,5,6,38,62,5,2,14,2,59,NA
721,2023-10-21,Air Force,San Jose St.,Home,W,3,0,3,44,14,92,0.326,37,2,8,31,53,0,1,10,0,52,NA,34,19,89,0.169,31,0,6,30,65,2,0,6,1,37,2
721,2023-10-26,Air Force,UNLV,Home,L,1,3,4,59,32,174,0.155,54,4,4,74,85,4,1,10,0,69,NA,55,17,154,0.247,52,4,9,67,87,4,1,26,2,73,NA
721,2023-10-28,Air Force,San Diego St.,Home,W,3,0,3,40,13,84,0.321,35,4,6,31,49,4,3,14,2,54,NA,30,24,92,0.065,30,4,5,28,68,4,1,4,0,37,1
721,2023-11-02,Air Force,Utah St.,Away,L,0,3,3,40,16,105,0.229,38,1,3,43,67,4,2,2,0,44,1,50,10,105,0.381,47,4,6,42,57,1,1,10,1,60,NA
721,2023-11-04,Air Force,Boise St.,Away,W,3,0,3,38,12,101,0.257,36,6,4,39,62,5,3,10,1,52,NA,44,24,115,0.174,43,5,5,46,70,6,1,14,3,57,NA
721,2023-11-09,Air Force,Nevada,Home,W,3,0,3,51,19,123,0.26,47,6,9,54,56,4,0,12,0,63,1,23,16,99,0.071,21,4,2,45,65,6,0,18,1,36,NA
721,2023-11-11,Air Force,Fresno St.,Home,W,3,0,3,49,15,107,0.318,43,5,13,38,60,1,2,6,1,59,NA,35,14,95,0.221,35,1,5,36,61,5,3,10,0,44,2
721,2023-11-16,Air Force,Wyoming,Away,L,1,3,4,54,29,134,0.187,49,3,9,51,87,5,1,4,1,60,NA,54,12,119,0.353,50,5,11,42,76,3,2,26,3,74,NA
721,2023-11-18,Air Force,Colorado St.,Away,L,0,3,3,33,12,97,0.216,31,2,8,41,67,13,2,8,0,41,1,41,19,106,0.208,38,13,6,47,55,2,2,6,0,59,NA
5,2023-08-25,Akron,Valparaiso ,Away,L,0,3,3,34,21,112,0.116,33,5,3,47,66,3,0,12,1,45,3,41,11,115,0.261,38,3,8,49,59,5,3,14,0,54,NA
5,2023-08-25,Akron,ULM ,Away,L,2,3,5,50,28,171,0.129,47,12,8,70,97,11,1,20,0,73,1,57,24,160,0.206,57,11,8,79,88,12,1,16,2,77,1
5,2023-08-26,Akron,Eastern Ill.,Away,L,1,3,4,36,21,131,0.115,33,5,7,52,88,8,0,16,4,49,1,60,19,146,0.281,56,8,10,66,64,5,2,18,0,79,NA
5,2023-09-01,Akron,Morehead St. ,Away,W,3,1,4,51,20,142,0.218,46,9,10,55,79,7,1,4,0,63,NA,48,28,139,0.144,44,7,9,60,88,9,5,14,0,67,NA
5,2023-09-02,Akron,Marshall,Away,W,3,2,5,56,17,146,0.267,51,12,13,58,91,7,1,10,0,74,NA,54,19,136,0.257,47,7,4,67,79,12,2,12,1,69,NA
5,2023-09-02,Akron,UNC Greensboro ,Away,W,3,0,3,48,7,95,0.432,41,11,10,33,43,3,1,0,1,60,NA,22,11,72,0.153,19,3,3,24,64,11,2,0,2,27,NA
5,2023-09-06,Akron,Cleveland St.,Away,L,1,3,4,55,25,188,0.16,53,8,9,87,87,4,0,10,2,68,1,58,15,178,0.242,50,4,9,89,79,8,8,10,2,75,NA
5,2023-09-08,Akron,Harvard,Home,W,3,2,5,69,21,162,0.296,67,15,13,56,96,8,0,12,3,90,NA,60,24,154,0.234,58,8,8,60,103,15,1,14,2,76,NA
5,2023-09-08,Akron,Bucknell,Home,L,2,3,5,57,30,182,0.148,55,14,8,84,96,8,2,24,2,85,1,53,29,176,0.136,49,8,6,84,103,14,3,24,0,76,3
5,2023-09-14,Akron,Youngstown St.,Away,W,3,1,4,54,22,140,0.229,51,13,9,60,69,6,1,22,2,79,1,34,22,122,0.098,34,6,5,50,84,13,1,14,3,48,NA
5,2023-09-15,Akron,Cleveland St.,Home,L,2,3,5,60,29,178,0.174,57,9,4,71,93,4,1,14,1,77,1,64,20,167,0.263,59,4,9,80,95,9,5,20,2,83,1
5,2023-09-22,Akron,Ohio,Away,W,3,1,4,45,20,122,0.205,43,10,6,53,81,6,2,20,0,67,5,49,23,133,0.195,44,6,8,46,88,10,0,16,0,63,5
5,2023-09-23,Akron,Ohio,Away,L,1,3,4,41,25,134,0.119,40,3,11,54,90,9,5,6,0,52,3,49,25,141,0.17,46,9,8,53,71,3,4,16,1,70,3
5,2023-09-28,Akron,Kent St.,Home,W,3,0,3,44,13,113,0.274,41,6,8,38,59,1,0,18,1,59,NA,43,20,108,0.213,42,1,7,44,70,6,0,4,2,46,1
5,2023-09-29,Akron,Kent St.,Home,W,3,0,3,38,14,89,0.27,34,10,5,34,50,2,1,14,1,56,1,31,18,86,0.151,30,2,6,33,68,10,0,6,0,36,1
5,2023-10-05,Akron,Eastern Mich.,Home,W,3,0,3,39,13,103,0.252,37,8,5,44,55,2,1,19,1,57.5,NA,37,22,108,0.139,36,2,4,44,68,8,0,12,3,45,NA
5,2023-10-06,Akron,Central Mich.,Home,W,3,2,5,58,17,139,0.295,55,9,11,58,79,11,0,18,2,76,1,47,23,136,0.176,44,11,9,62,91,9,1,4,3,61,1
5,2023-10-12,Akron,Ball St.,Away,L,0,3,3,35,18,114,0.149,33,2,7,48,73,6,0,12,0,43,NA,42,16,114,0.228,36,6,2,54,50,2,2,14,2,57,NA
5,2023-10-13,Akron,Ball St.,Away,L,1,3,4,46,25,149,0.141,43,7,6,61,91,6,1,6,2,57,1,59,14,150,0.3,54,6,5,67,68,7,4,16,2,77,NA
5,2023-10-17,Akron,Buffalo,Away,L,0,3,3,23,16,88,0.08,21,1,4,29,65,4,1,8,0,29,2,46,20,104,0.25,42,4,9,42,50,1,2,6,0,55,NA
5,2023-10-20,Akron,Toledo,Home,L,1,3,4,51,22,158,0.184,48,6,8,63,97,12,2,18,2,68,NA,60,26,155,0.219,53,12,5,77,82,6,3,12,1,81,NA
5,2023-10-21,Akron,Toledo,Home,L,2,3,5,71,26,170,0.265,70,10,14,59,106,7,1,12,3,88,1,63,22,155,0.265,59,7,6,64,96,10,2,22,3,83,NA
5,2023-10-27,Akron,NIU,Away,W,3,0,3,47,12,102,0.343,40,6,6,36,56,1,3,6,0,59,1,36,15,98,0.214,33,1,5,26,67,6,5,10,0,47,NA
5,2023-10-28,Akron,Western Mich.,Away,L,1,3,4,59,16,149,0.289,56,4,6,62,94,7,2,22,2,76,2,70,20,159,0.314,64,7,6,68,86,4,3,10,0,85,NA
5,2023-11-03,Akron,Bowling Green,Home,L,0,3,3,27,19,107,0.075,26,4,6,31,69,1,0,10,1,36,NA,49,14,98,0.357,47,1,5,52,46,4,2,12,0,58,1
5,2023-11-04,Akron,Bowling Green,Home,L,0,3,3,36,13,103,0.223,34,5,8,38,69,6,0,12,0,47,NA,48,13,104,0.337,45,6,5,49,55,5,1,8,0,59,3
5,2023-11-10,Akron,Miami (OH),Away,W,3,2,5,68,29,181,0.215,61,6,7,61,102,4,2,22,0,87,2,67,28,168,0.232,62,4,8,65,104,6,5,18,0,85,NA
5,2023-11-11,Akron,Miami (OH),Away,W,3,0,3,37,9,88,0.318,34,6,3,40,37,2,0,16,0,51,NA,25,26,99,-0.01,24,2,5,39,70,6,1,8,0,32,1
5,2023-11-15,Akron,Buffalo,Home,L,0,3,3,35,20,91,0.165,33,5,8,34,65,10,0,8,1,44,NA,36,10,85,0.306,34,10,9,31,52,5,3,14,3,56,NA
8,2023-08-25,Alabama,Mississippi Val.,Home,W,3,0,3,36,4,61,0.525,35,11,13,23,25,3,5,4,0,54,1,11,18,54,-0.13,10,3,8,19,61,11,0,2,1,15,2
8,2023-08-25,Alabama,Saint Louis,Home,W,3,0,3,30,9,88,0.239,29,14,9,41,40,2,0,8,1,48,NA,26,23,94,0.032,25,2,8,44,64,14,1,2,2,30,NA
8,2023-08-26,Alabama,Mercer,Home,W,3,0,3,45,9,103,0.35,43,9,9,48,48,3,1,8,0,59,1,31,10,98,0.214,27,3,9,38,64,9,1,4,0,37,1
8,2023-09-01,Alabama,Tulane,Away,W,3,0,3,48,19,138,0.21,46,4,11,56,67,3,3,9,0,59.5,3,29,17,124,0.097,25,3,3,55,63,4,1,16,0,41,2
8,2023-09-02,Alabama,Alabama A&M ,Away,W,3,0,3,39,5,71,0.479,35,7,6,28,28,2,2,10,3,53,1,17,20,68,-0.044,16,2,7,20,67,7,1,0,4,20,2
8,2023-09-03,Alabama,Sam Houston ,Away,W,3,1,4,59,15,153,0.288,57,9,17,64,79,3,2,8,2,74,NA,50,12,142,0.268,45,3,8,67,76,9,1,7,4,57.5,2
8,2023-09-08,Alabama,Tex. A&M-Commerce ,Away,L,2,3,5,58,24,146,0.233,54,14,6,69,87,12,1,12,0,79,1,51,17,145,0.234,43,12,6,56,91,14,0,12,0,69,NA
8,2023-09-09,Alabama,Tarleton St. ,Away,W,3,2,5,68,18,164,0.305,63,3,8,61,98,5,4,22,1,86,1,65,32,167,0.198,59,5,2,71,97,3,1,10,1,76,NA
8,2023-09-10,Alabama,UAB,Away,W,3,0,3,48,9,113,0.345,39,7,8,40,48,2,0,8,0,59,2,31,11,92,0.217,31,2,7,45,65,7,1,8,1,38,NA
8,2023-09-14,Alabama,Troy,Away,W,3,2,5,52,17,132,0.265,51,4,14,53,88,7,1,16,0,65,3,53,31,148,0.149,48,7,13,51,89,4,1,8,0,65,2
8,2023-09-16,Alabama,Grambling,Home,W,3,0,3,46,11,110,0.318,44,6,4,56,46,1,2,10,1,59,2,31,16,109,0.138,28,1,6,49,69,6,1,4,2,35,1
8,2023-09-22,Alabama,Ole Miss,Away,L,0,3,3,29,20,107,0.084,29,4,7,50,68,4,0,8,1,37,NA,41,12,108,0.269,37,4,6,51,49,4,3,14,0,55,NA
8,2023-09-24,Alabama,Mississippi St.,Away,L,0,3,3,32,16,110,0.145,30,3,10,47,67,8,2,4,2,39,NA,40,13,111,0.243,37,8,7,58,48,3,2,8,2,54,NA
