ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,s,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,ret_att,r_err,block_solos,block_assists,b_err,tb,pts,bhe.x,defensive_kills,defensive_errors,defensive_total_attacks,defensive_hit_pct,defensive_assists,defensive_aces,defensive_s_err,defensive_digs,defensive_ret_att,defensive_r_err,defensive_block_solos,defensive_block_assists,defensive_b_err,defensive_tb,defensive_pts,bhe.y
721,2022-09-03,Air Force,Rhode Island,Away,W,3,0,3,36,12,81,0.296,30,12,8,30,47,4,0,14,0,7,55,1,25,20,83,0.06,25,4,4,30,66,12,1,10,0,6,35,1
721,2022-09-09,Air Force,Idaho St. ,Away,L,0,3,3,37,15,103,0.214,36,8,9,42,68,6,0,8,1,4,49,3,41,8,99,0.333,37,6,5,44,55,8,1,12,0,7,54,4
721,2022-09-09,Air Force,UC Riverside ,Away,W,3,0,3,41,9,99,0.323,39,5,12,40,58,7,0,10,1,5,51,NA,34,17,99,0.172,32,7,5,45,63,5,1,4,1,3,44,NA
721,2022-09-10,Air Force,California Baptist,Away,L,2,3,5,60,31,166,0.175,56,11,12,62,100,5,5,14,1,12,83,NA,58,27,157,0.197,54,5,7,62,96,11,2,24,1,14,77,NA
721,2022-09-15,Air Force,Denver,Home,L,0,3,3,30,21,92,0.098,26,4,14,25,62,5,0,6,1,3,37,NA,34,11,79,0.291,32,5,11,36,44,4,3,10,1,8,47,NA
721,2022-09-16,Air Force,UC San Diego,Home,L,1,3,4,68,27,174,0.236,63,2,12,64,100,4,4,16,0,12,82,NA,59,21,162,0.235,55,4,3,66,84,2,3,10,1,8,71,NA
721,2022-09-17,Air Force,San Francisco,Home,W,3,1,4,50,27,130,0.177,46,7,14,53,81,6,3,18,1,12,69,1,45,22,132,0.174,42,6,14,45,78,7,5,18,3,14,65,NA
721,2022-09-22,Air Force,Utah St.,Away,L,2,3,5,51,27,170,0.141,48,9,13,65,103,9,5,22,0,16,76,2,61,35,174,0.149,58,9,8,76,94,9,5,12,0,11,81,2
721,2022-09-24,Air Force,Boise St.,Away,L,0,3,3,32,19,88,0.148,32,4,6,24,69,4,0,8,3,4,40,2,44,10,83,0.41,43,4,4,31,48,4,0,18,2,9,57,2
721,2022-09-29,Air Force,Colorado St.,Home,L,0,3,3,37,21,93,0.172,34,2,7,31,68,6,0,12,2,6,45,NA,41,10,85,0.365,35,6,5,32,50,2,2,2,2,3,50,NA
721,2022-10-01,Air Force,Wyoming,Home,L,2,3,5,48,27,145,0.145,41,8,14,47,95,8,1,14,2,8,64,NA,62,22,137,0.292,58,8,15,56,83,8,2,6,1,5,75,NA
721,2022-10-04,Air Force,New Mexico,Away,L,1,3,4,42,26,145,0.11,38,1,13,61,88,9,2,16,2,10,53,2,46,24,142,0.155,42,9,7,66,62,1,3,16,2,11,66,NA
721,2022-10-08,Air Force,UNLV,Home,L,2,3,5,59,29,169,0.178,56,6,11,72,105,6,3,12,0,9,74,2,60,25,166,0.211,53,6,5,69,85,6,1,18,1,10,76,NA
721,2022-10-13,Air Force,Nevada,Away,L,1,3,4,50,22,140,0.2,47,6,12,61,89,13,7,6,0,10,66,NA,47,20,138,0.196,44,13,5,63,70,6,3,10,2,8,68,NA
721,2022-10-15,Air Force,San Jose St.,Away,L,0,3,3,23,8,75,0.2,19,4,7,24,63,8,1,2,0,2,29,1,50,12,92,0.413,43,8,10,34,46,4,2,3,0,3.5,61.5,NA
721,2022-10-20,Air Force,Fresno St.,Home,W,3,1,4,50,25,126,0.198,45,5,11,56,81,8,4,20,1,14,69,1,40,31,140,0.064,36,8,7,39,85,5,1,26,1,14,62,NA
721,2022-10-22,Air Force,San Diego St.,Away,L,1,3,4,41,14,124,0.218,38,6,13,50,91,8,2,12,1,8,55,2,65,23,159,0.264,60,8,10,62,70,6,0,18,1,9,82,1
721,2022-10-27,Air Force,San Jose St.,Home,W,3,0,3,40,13,106,0.255,35,1,5,39,62,1,1,18,2,10,51,NA,50,29,129,0.163,45,1,9,41,72,1,1,10,3,6,57,NA
721,2022-10-29,Air Force,Nevada,Home,W,3,2,5,54,31,168,0.137,53,4,15,66,96,7,5,26,4,18,76,1,53,35,170,0.106,46,7,13,65,94,4,2,18,2,11,71,1
721,2022-11-01,Air Force,New Mexico,Home,W,3,2,5,60,28,169,0.189,56,6,11,69,87,1,2,18,3,11,77,NA,52,22,155,0.194,48,1,8,70,89,6,2,22,2,13,66,1
721,2022-11-03,Air Force,UNLV,Away,L,0,3,3,27,19,96,0.083,25,2,6,46,67,6,2,6,4,5,34,NA,39,17,98,0.224,37,6,6,59,52,2,0,14,2,7,52,NA
721,2022-11-10,Air Force,Wyoming,Away,W,3,2,5,58,18,151,0.265,55,4,11,58,90,5,6,10,0,11,73,NA,56,28,154,0.182,55,5,7,66,88,4,2,6,2,5,66,NA
721,2022-11-12,Air Force,Colorado St.,Away,L,1,3,4,57,16,135,0.304,56,3,13,66,85,4,3,0,0,3,63,NA,55,10,139,0.324,51,4,5,56,63,3,2,6,0,5,64,NA
721,2022-11-17,Air Force,Boise St.,Home,W,3,0,3,49,9,87,0.46,46,5,9,33,52,2,2,14,2,9,63,NA,33,18,90,0.167,28,2,3,23,65,5,0,11,1,5.5,40.5,NA
721,2022-11-19,Air Force,Utah St.,Home,W,3,1,4,61,14,145,0.324,57,4,12,61,92,8,2,12,2,8,73,2,64,28,165,0.218,56,8,10,56,92,4,2,8,0,6,78,2
5,2022-08-26,Akron,Eastern Ill. ,Away,L,0,3,3,29,21,98,0.082,29,4,7,32,72,5,2,8,0,6,39,1,42,25,101,0.168,38,5,4,44,57,4,1,12,7,7,54,NA
5,2022-08-27,Akron,Oakland ,Away,L,2,3,5,59,33,196,0.133,53,4,14,85,103,4,2,14,0,9,72,NA,51,27,179,0.134,46,4,3,92,83,4,2,6,0,5,60,NA
5,2022-08-27,Akron,Butler,Away,L,2,3,5,51,34,165,0.103,45,10,8,71,92,0,0,0,1,0,61,1,57,18,157,0.248,50,0,9,69,84,10,2,28,2,16,73,1
5,2022-09-02,Akron,Iona ,Away,L,2,3,5,48,33,167,0.09,46,10,9,73,98,4,8,10,0,13,71,NA,61,30,180,0.172,58,4,10,80,90,10,2,8,0,6,71,NA
5,2022-09-03,Akron,Seton Hall,Away,L,1,3,4,58,29,167,0.174,55,5,6,59,91,6,1,4,0,3,66,NA,56,15,140,0.293,54,6,7,60,82,5,3,12,0,9,71,NA
5,2022-09-03,Akron,George Mason ,Away,W,3,1,4,52,26,135,0.193,46,8,8,44,79,4,0,22,0,11,71,NA,46,31,143,0.105,46,4,6,43,89,8,3,10,0,8,58,NA
5,2022-09-08,Akron,Cleveland St.,Home,W,3,2,5,52,19,164,0.201,46,4,9,60,94,9,1,15,1,8.5,64.5,1,61,27,160,0.213,47,9,7,70,86,4,0,12,0,6,76,2
5,2022-09-09,Akron,Valparaiso,Home,L,1,3,4,51,32,168,0.113,48,2,6,67,95,3,2,16,0,10,63,3,52,27,163,0.153,46,3,3,72,78,2,4,23,1,15.5,70.5,NA
5,2022-09-10,Akron,Morgan St.,Home,W,3,0,3,38,12,94,0.277,33,5,9,41,42,0,1,10,1,6,49,2,26,19,93,0.075,23,0,12,32,64,5,2,6,1,5,31,NA
5,2022-09-15,Akron,Youngstown St.,Home,L,0,3,3,40,13,106,0.255,35,2,5,40,68,8,0,4,3,2,44,1,47,8,103,0.379,44,8,6,44,54,2,0,8,0,4,59,NA
5,2022-09-16,Akron,Cleveland St.,Away,L,2,3,5,54,44,183,0.055,54,4,6,84,97,7,2,14,2,9,67,2,44,23,158,0.133,39,7,8,73,83,4,5,26,1,18,69,NA
5,2022-09-23,Akron,NIU,Away,L,0,3,3,23,14,95,0.095,19,3,5,32,66,4,0,6,0,3,29,2,46,9,92,0.402,36,4,8,47,39,3,0,14,1,7,57,NA
5,2022-09-24,Akron,NIU,Away,L,0,3,3,37,17,117,0.171,36,1,9,39,66,2,1,8,0,5,43,NA,47,11,104,0.346,39,2,8,45,50,1,2,16,0,10,59,1
5,2022-09-28,Akron,Buffalo,Home,L,0,3,3,34,19,95,0.158,33,4,3,38,66,2,0,4,1,2,40,3,46,8,101,0.376,39,2,7,38,54,4,2,18,2,11,59,2
5,2022-09-30,Akron,Western Mich.,Home,W,3,2,5,64,30,197,0.173,58,6,4,77,105,2,1,20,1,11,81,1,71,24,189,0.249,64,2,7,78,97,6,6,10,1,11,84,1
5,2022-10-01,Akron,Western Mich.,Home,L,0,3,3,38,18,103,0.194,37,1,3,34,70,5,0,6,1,3,42,NA,46,9,101,0.366,41,5,3,36,50,1,2,14,0,9,60,NA
5,2022-10-07,Akron,Ball St.,Away,L,1,3,4,48,33,176,0.085,44,3,8,72,95,5,1,2,0,2,53,NA,51,6,138,0.326,48,5,3,80,53,3,3,18,2,12,68,NA
5,2022-10-08,Akron,Toledo,Away,L,0,3,3,21,19,105,0.019,21,1,3,44,67,6,3,8,1,7,29,NA,45,19,120,0.217,42,6,7,56,47,1,4,10,0,9,60,NA
5,2022-10-14,Akron,Kent St.,Away,L,0,3,3,40,17,111,0.207,39,2,4,36,70,1,0,6,1,3,45,NA,48,9,97,0.402,46,1,3,45,55,2,1,6,1,4,53,NA
5,2022-10-15,Akron,Kent St.,Away,W,3,0,3,41,19,122,0.18,40,9,4,55,66,5,0,12,2,6,56,NA,41,19,118,0.186,38,5,7,52,73,9,3,14,2,10,56,NA
5,2022-10-21,Akron,Ohio,Home,L,0,3,3,34,20,104,0.135,31,4,3,31,70,4,0,2,1,1,39,1,46,8,94,0.404,43,4,4,41,51,4,3,6,1,6,56,2
5,2022-10-22,Akron,Ohio,Home,L,1,3,4,49,24,162,0.154,44,6,9,50,92,4,4,14,1,11,66,1,61,21,139,0.288,61,4,7,72,76,6,4,20,3,14,79,NA
5,2022-10-28,Akron,Central Mich.,Home,L,0,3,3,40,21,126,0.151,36,5,4,42,70,4,1,2,1,2,47,1,44,12,109,0.294,38,4,4,52,60,5,4,14,1,11,59,NA
5,2022-10-29,Akron,Eastern Mich.,Home,L,2,3,5,66,22,158,0.278,64,3,7,55,101,7,2,12,1,8,77,3,66,15,145,0.352,59,7,5,56,84,3,2,6,3,5,78,NA
5,2022-11-04,Akron,Bowling Green,Away,L,2,3,5,59,26,169,0.195,58,8,5,66,91,4,1,18,1,10,77,NA,68,19,168,0.292,65,4,12,72,94,8,1,20,3,11,83,NA
5,2022-11-05,Akron,Bowling Green,Away,L,0,3,3,36,25,117,0.094,34,0,3,43,67,4,1,4,0,3,39,NA,44,8,99,0.364,41,4,8,53,52,0,1,22,1,12,60,NA
5,2022-11-11,Akron,Miami (OH),Home,L,0,3,3,40,22,112,0.161,37,5,6,35,71,4,0,10,1,5,50,NA,47,14,105,0.314,43,4,8,42,66,5,5,12,1,11,62,1
5,2022-11-12,Akron,Miami (OH),Home,W,3,0,3,40,12,103,0.272,36,13,3,35,54,6,2,9,0,6.5,59.5,NA,33,15,93,0.194,31,6,3,37,70,13,1,6,1,4,43,3
5,2022-11-16,Akron,Buffalo,Away,L,0,3,3,35,17,139,0.129,32,3,4,58,70,5,2,4,0,4,42,3,46,10,122,0.295,45,5,4,72,50,3,3,10,0,8,59,1
8,2022-08-26,Alabama,McNeese,Home,W,3,1,4,46,34,134,0.09,40,11,18,40,72,2,4,12,0,10,67,1,24,27,99,-0.03,22,2,10,44,75,11,3,16,2,11,37,NA
8,2022-08-26,Alabama,UTSA,Home,W,3,0,3,42,14,95,0.295,41,8,24,37,56,4,2,8,2,6,56,NA,25,12,79,0.165,20,4,14,33,51,8,2,4,4,4,33,NA
8,2022-08-27,Alabama,Southern Miss.,Home,W,3,1,4,50,25,157,0.159,43,14,21,57,81,3,4,15,2,11.5,75.5,1,41,25,133,0.12,38,3,12,72,80,14,2,6,2,5,49,1
8,2022-09-02,Alabama,Oregon St. ,Away,L,2,3,5,60,29,162,0.191,56,6,21,54,102,7,1,24,2,13,79,NA,42,26,135,0.119,40,7,1,63,76,6,1,18,5,10,59,NA
8,2022-09-02,Alabama,Houston,Away,L,0,3,3,31,19,100,0.12,28,4,16,33,68,6,0,8,2,4,39,NA,34,9,83,0.301,31,6,6,45,36,4,0,8,0,4,44,1
8,2022-09-03,Alabama,Central Ark. ,Away,W,3,1,4,63,22,144,0.285,51,7,18,55,79,5,2,14,1,9,79,NA,34,16,115,0.157,32,5,2,52,72,7,2,8,4,6,45,3
8,2022-09-09,Alabama,Green Bay ,Away,L,1,3,4,57,30,154,0.175,55,13,15,56,93,6,3,6,2,6,76,NA,44,11,116,0.284,43,6,2,62,69,13,2,12,1,8,58,NA
8,2022-09-09,Alabama,Ball St.,Away,L,1,3,4,53,32,165,0.127,50,7,14,63,92,7,1,21,0,11.5,71.5,1,43,17,131,0.198,40,7,5,66,70,7,3,8,2,7,57,1
